Timestamp,HeadPosX,HeadPosY,HeadPosZ,GazeX,GazeY,GazeZ
0.9811346,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
1.983067,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
2.994277,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
3.992149,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
4.98301,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
5.982637,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
6.991717,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
7.98688,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
8.988632,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
9.982395,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
10.98076,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
11.98749,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
12.98089,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
13.98251,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
14.98234,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
15.98679,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
16.98349,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
17.98753,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
18.98192,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
19.98061,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
20.98049,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
21.98089,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
22.98148,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
23.98356,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
24.98189,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
25.99303,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
26.9835,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
27.98294,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
28.98415,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
29.98443,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
31.02048,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
31.99214,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
32.99128,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
