Timestamp,HeadPosX,HeadPosY,HeadPosZ,GazeX,GazeY,GazeZ
0.9856141,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
1.982801,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
2.980447,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
3.98789,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
4.986638,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
5.983556,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
6.984271,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
7.988847,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
8.980215,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
9.989718,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
10.99144,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
11.98905,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
12.98461,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
13.98018,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
14.9832,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
15.98817,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
16.98804,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
17.98355,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
18.98711,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
19.98701,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
20.9825,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
21.98714,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
22.98829,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
23.99267,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
24.98672,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
