Timestamp,HeadPosX,HeadPosY,HeadPosZ,GazeX,GazeY,GazeZ
0.9823946,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
1.981853,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
2.988884,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
3.984,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
4.995176,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
5.991175,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
6.986732,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
7.998966,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
8.985428,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
9.998998,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
10.99586,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
11.98824,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
13.00108,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
13.98437,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
14.9872,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
15.98687,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
16.98065,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
17.98404,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
18.98173,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
19.98709,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
20.98981,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
21.9848,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
22.98716,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
23.9944,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
24.98521,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
25.98833,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
26.99346,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
27.98392,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
28.99883,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
29.99052,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
30.99209,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
31.99458,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
32.99293,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
33.99202,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
34.98019,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
35.99149,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
36.99356,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
38.01627,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
38.99738,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
39.9948,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
41.01602,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
41.98464,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
42.9817,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
43.98803,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
44.99158,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
45.98446,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
46.99753,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
47.98841,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
48.99327,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
49.98182,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
50.98955,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
51.99287,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
52.98677,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
53.98564,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
54.98247,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
55.98491,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
56.98097,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
57.98738,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
58.99105,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
59.99073,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
60.99498,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
61.98288,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
62.99748,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
63.99064,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
64.98139,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
65.98948,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
66.98876,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
67.98706,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
69.01979,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
69.98824,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
70.98598,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
