Timestamp,HeadPosX,HeadPosY,HeadPosZ,GazeX,GazeY,GazeZ
0.9836027,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
1.994079,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
2.994112,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
3.987031,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
4.987355,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
5.980439,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
6.989363,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
7.991781,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
8.98502,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
9.990746,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
10.98749,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
11.98539,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
12.98951,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
13.98422,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
14.99027,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
15.98404,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
16.9893,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
17.99068,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
18.98431,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
19.98333,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
20.98967,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
21.98036,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
22.98443,0.381,0.31,-1.536,-0.001175135,0.09821864,-0.9951642
