Timestamp,Controller,PosX,PosY,PosZ,VelX,VelY,VelZ,AngVelX,AngVelY,AngVelZ
0.9856141,Right,0,0,0,0,0,0,0,0,0
1.982801,Right,0,0,0,0,0,0,0,0,0
2.980447,Right,0,0,0,0,0,0,0,0,0
3.98789,Right,0,0,0,0,0,0,0,0,0
4.986638,Right,0,0,0,0,0,0,0,0,0
5.983556,Right,0,0,0,0,0,0,0,0,0
6.984271,Right,0,0,0,0,0,0,0,0,0
7.988847,Right,0,0,0,0,0,0,0,0,0
8.980215,Right,0,0,0,0,0,0,0,0,0
9.989718,Right,0,0,0,0,0,0,0,0,0
10.99144,Right,0,0,0,0,0,0,0,0,0
11.98905,Right,0,0,0,0,0,0,0,0,0
12.98461,Right,0,0,0,0,0,0,0,0,0
13.98018,Right,0,0,0,0,0,0,0,0,0
14.9832,Right,0,0,0,0,0,0,0,0,0
15.98817,Right,0,0,0,0,0,0,0,0,0
16.98804,Right,0,0,0,0,0,0,0,0,0
17.98355,Right,0,0,0,0,0,0,0,0,0
18.98711,Right,0,0,0,0,0,0,0,0,0
19.98701,Right,0,0,0,0,0,0,0,0,0
20.9825,Right,0,0,0,0,0,0,0,0,0
21.98714,Right,0,0,0,0,0,0,0,0,0
22.98829,Right,0,0,0,0,0,0,0,0,0
23.99267,Right,0,0,0,0,0,0,0,0,0
24.98672,Right,0,0,0,0,0,0,0,0,0
25.98556,Right,0,0,0,0,0,0,0,0,0
26.98643,Right,0,0,0,0,0,0,0,0,0
27.99157,Right,0,0,0,0,0,0,0,0,0
28.98626,Right,0,0,0,0,0,0,0,0,0
29.98114,Right,0,0,0,0,0,0,0,0,0
31.04668,Right,0,0,0,0,0,0,0,0,0
31.99178,Right,0,0,0,0,0,0,0,0,0
32.9851,Right,0,0,0,0,0,0,0,0,0
33.98578,Right,0,0,0,0,0,0,0,0,0
34.98433,Right,0,0,0,0,0,0,0,0,0
35.98457,Right,0,0,0,0,0,0,0,0,0
36.98209,Right,0,0,0,0,0,0,0,0,0
37.99231,Right,0,0,0,0,0,0,0,0,0
38.98513,Right,0,0,0,0,0,0,0,0,0
39.99135,Right,0,0,0,0,0,0,0,0,0
40.98548,Right,0,0,0,0,0,0,0,0,0
41.98272,Right,0,0,0,0,0,0,0,0,0
42.98775,Right,0,0,0,0,0,0,0,0,0
43.98409,Right,0,0,0,0,0,0,0,0,0
44.98684,Right,0,0,0,0,0,0,0,0,0
45.98701,Right,0,0,0,0,0,0,0,0,0
46.98473,Right,0,0,0,0,0,0,0,0,0
47.99023,Right,0,0,0,0,0,0,0,0,0
48.98514,Right,0,0,0,0,0,0,0,0,0
49.98922,Right,0,0,0,0,0,0,0,0,0
50.98664,Right,0,0,0,0,0,0,0,0,0
51.98842,Right,0,0,0,0,0,0,0,0,0
52.98392,Right,0,0,0,0,0,0,0,0,0
53.98851,Right,0,0,0,0,0,0,0,0,0
54.98586,Right,0,0,0,0,0,0,0,0,0
55.98129,Right,0,0,0,0,0,0,0,0,0
56.98351,Right,0,0,0,0,0,0,0,0,0
57.98569,Right,0,0,0,0,0,0,0,0,0
58.98398,Right,0,0,0,0,0,0,0,0,0
59.98812,Right,0,0,0,0,0,0,0,0,0
60.98118,Right,0,0,0,0,0,0,0,0,0
62.02229,Right,0,0,0,0,0,0,0,0,0
62.98825,Right,0,0,0,0,0,0,0,0,0
63.98859,Right,0,0,0,0,0,0,0,0,0
64.98305,Right,0,0,0,0,0,0,0,0,0
65.98614,Right,0,0,0,0,0,0,0,0,0
66.98135,Right,0,0,0,0,0,0,0,0,0
67.9825,Right,0,0,0,0,0,0,0,0,0
68.98957,Right,0,0,0,0,0,0,0,0,0
69.99091,Right,0,0,0,0,0,0,0,0,0
70.98786,Right,0,0,0,0,0,0,0,0,0
71.98228,Right,0,0,0,0,0,0,0,0,0
72.98896,Right,0,0,0,0,0,0,0,0,0
73.98267,Right,0,0,0,0,0,0,0,0,0
74.9852,Right,0,0,0,0,0,0,0,0,0
