Timestamp,Controller,PosX,PosY,PosZ,VelX,VelY,VelZ,AngVelX,AngVelY,AngVelZ
0.9811346,Left,0,0,0,0,0,0,0,0,0
1.983067,Left,0,0,0,0,0,0,0,0,0
2.994277,Left,0,0,0,0,0,0,0,0,0
3.992149,Left,0,0,0,0,0,0,0,0,0
4.98301,Left,0,0,0,0,0,0,0,0,0
5.982637,Left,0,0,0,0,0,0,0,0,0
6.991717,Left,0,0,0,0,0,0,0,0,0
7.98688,Left,0,0,0,0,0,0,0,0,0
8.988632,Left,0,0,0,0,0,0,0,0,0
9.982395,Left,0,0,0,0,0,0,0,0,0
10.98076,Left,0,0,0,0,0,0,0,0,0
11.98749,Left,0,0,0,0,0,0,0,0,0
12.98089,Left,0,0,0,0,0,0,0,0,0
13.98251,Left,0,0,0,0,0,0,0,0,0
14.98234,Left,0,0,0,0,0,0,0,0,0
15.98679,Left,0,0,0,0,0,0,0,0,0
16.98349,Left,0,0,0,0,0,0,0,0,0
17.98753,Left,0,0,0,0,0,0,0,0,0
18.98192,Left,0,0,0,0,0,0,0,0,0
19.98061,Left,0,0,0,0,0,0,0,0,0
20.98049,Left,0,0,0,0,0,0,0,0,0
21.98089,Left,0,0,0,0,0,0,0,0,0
22.98148,Left,0,0,0,0,0,0,0,0,0
23.98356,Left,0,0,0,0,0,0,0,0,0
24.98189,Left,0,0,0,0,0,0,0,0,0
25.99303,Left,0,0,0,0,0,0,0,0,0
26.9835,Left,0,0,0,0,0,0,0,0,0
27.98294,Left,0,0,0,0,0,0,0,0,0
28.98415,Left,0,0,0,0,0,0,0,0,0
29.98443,Left,0,0,0,0,0,0,0,0,0
31.02048,Left,0,0,0,0,0,0,0,0,0
31.99214,Left,0,0,0,0,0,0,0,0,0
32.99128,Left,0,0,0,0,0,0,0,0,0
