Timestamp,Controller,PosX,PosY,PosZ,VelX,VelY,VelZ,AngVelX,AngVelY,AngVelZ
0.9856141,Left,0,0,0,0,0,0,0,0,0
1.982801,Left,0,0,0,0,0,0,0,0,0
2.980447,Left,0,0,0,0,0,0,0,0,0
3.98789,Left,0,0,0,0,0,0,0,0,0
4.986638,Left,0,0,0,0,0,0,0,0,0
5.983556,Left,0,0,0,0,0,0,0,0,0
6.984271,Left,0,0,0,0,0,0,0,0,0
7.988847,Left,0,0,0,0,0,0,0,0,0
8.980215,Left,0,0,0,0,0,0,0,0,0
9.989718,Left,0,0,0,0,0,0,0,0,0
10.99144,Left,0,0,0,0,0,0,0,0,0
11.98905,Left,0,0,0,0,0,0,0,0,0
12.98461,Left,0,0,0,0,0,0,0,0,0
13.98018,Left,0,0,0,0,0,0,0,0,0
14.9832,Left,0,0,0,0,0,0,0,0,0
15.98817,Left,0,0,0,0,0,0,0,0,0
16.98804,Left,0,0,0,0,0,0,0,0,0
17.98355,Left,0,0,0,0,0,0,0,0,0
18.98711,Left,0,0,0,0,0,0,0,0,0
19.98701,Left,0,0,0,0,0,0,0,0,0
20.9825,Left,0,0,0,0,0,0,0,0,0
21.98714,Left,0,0,0,0,0,0,0,0,0
22.98829,Left,0,0,0,0,0,0,0,0,0
23.99267,Left,0,0,0,0,0,0,0,0,0
24.98672,Left,0,0,0,0,0,0,0,0,0
25.98556,Left,0,0,0,0,0,0,0,0,0
26.98643,Left,0,0,0,0,0,0,0,0,0
27.99157,Left,0,0,0,0,0,0,0,0,0
28.98626,Left,0,0,0,0,0,0,0,0,0
29.98114,Left,0,0,0,0,0,0,0,0,0
31.04668,Left,0,0,0,0,0,0,0,0,0
31.99178,Left,0,0,0,0,0,0,0,0,0
32.9851,Left,0,0,0,0,0,0,0,0,0
33.98578,Left,0,0,0,0,0,0,0,0,0
34.98433,Left,0,0,0,0,0,0,0,0,0
35.98457,Left,0,0,0,0,0,0,0,0,0
36.98209,Left,0,0,0,0,0,0,0,0,0
37.99231,Left,0,0,0,0,0,0,0,0,0
38.98513,Left,0,0,0,0,0,0,0,0,0
39.99135,Left,0,0,0,0,0,0,0,0,0
40.98548,Left,0,0,0,0,0,0,0,0,0
41.98272,Left,0,0,0,0,0,0,0,0,0
42.98775,Left,0,0,0,0,0,0,0,0,0
43.98409,Left,0,0,0,0,0,0,0,0,0
44.98684,Left,0,0,0,0,0,0,0,0,0
45.98701,Left,0,0,0,0,0,0,0,0,0
46.98473,Left,0,0,0,0,0,0,0,0,0
47.99023,Left,0,0,0,0,0,0,0,0,0
48.98514,Left,0,0,0,0,0,0,0,0,0
49.98922,Left,0,0,0,0,0,0,0,0,0
50.98664,Left,0,0,0,0,0,0,0,0,0
51.98842,Left,0,0,0,0,0,0,0,0,0
52.98392,Left,0,0,0,0,0,0,0,0,0
53.98851,Left,0,0,0,0,0,0,0,0,0
54.98586,Left,0,0,0,0,0,0,0,0,0
55.98129,Left,0,0,0,0,0,0,0,0,0
56.98351,Left,0,0,0,0,0,0,0,0,0
57.98569,Left,0,0,0,0,0,0,0,0,0
58.98398,Left,0,0,0,0,0,0,0,0,0
59.98812,Left,0,0,0,0,0,0,0,0,0
60.98118,Left,0,0,0,0,0,0,0,0,0
62.02229,Left,0,0,0,0,0,0,0,0,0
62.98825,Left,0,0,0,0,0,0,0,0,0
63.98859,Left,0,0,0,0,0,0,0,0,0
64.98305,Left,0,0,0,0,0,0,0,0,0
65.98614,Left,0,0,0,0,0,0,0,0,0
66.98135,Left,0,0,0,0,0,0,0,0,0
67.9825,Left,0,0,0,0,0,0,0,0,0
68.98957,Left,0,0,0,0,0,0,0,0,0
69.99091,Left,0,0,0,0,0,0,0,0,0
70.98786,Left,0,0,0,0,0,0,0,0,0
71.98228,Left,0,0,0,0,0,0,0,0,0
72.98896,Left,0,0,0,0,0,0,0,0,0
73.98267,Left,0,0,0,0,0,0,0,0,0
74.9852,Left,0,0,0,0,0,0,0,0,0
